case_id,animal,cut,thickness,doneness,equipment,language,status,issue_code,issue_message,response_excerpt
case-000011,Vacuno,aguja,2,rare,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000012,Beef,aguja,2,rare,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 3 min per side + 4 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000013,Vacuno,aguja,2,rare,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000014,Beef,aguja,2,rare,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 3 min per side + 4 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000015,Vacuno,aguja,2,rare,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000016,Beef,aguja,2,rare,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 3 min per side + 4 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000017,Vacuno,aguja,2,rare,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Precalentar sartén: Usa sartén caliente y deja
case-000018,Beef,aguja,2,rare,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 3 min per side + 4 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Preheat pan: Use a hot pan and keep space between pieces. (10 min) 2. Sear
case-000019,Vacuno,aguja,2,rare,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000020,Beef,aguja,2,rare,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 3 min per side + 4 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000021,Vacuno,aguja,2,medium_rare,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000022,Beef,aguja,2,medium_rare,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 3 min per side + 4 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000023,Vacuno,aguja,2,medium_rare,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000024,Beef,aguja,2,medium_rare,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 3 min per side + 4 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000025,Vacuno,aguja,2,medium_rare,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000026,Beef,aguja,2,medium_rare,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 3 min per side + 4 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000027,Vacuno,aguja,2,medium_rare,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Calentar sartén medio-alto: Usa sartén calient
case-000028,Beef,aguja,2,medium_rare,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 3 min per side + 4 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Heat pan to medium-high: Use a hot pan and keep space between pieces. (10 
case-000029,Vacuno,aguja,2,medium_rare,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 3 min por lado + 4 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000030,Beef,aguja,2,medium_rare,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 3 min per side + 4 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000031,Vacuno,aguja,2,medium,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 3 min por lado + 6 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000032,Beef,aguja,2,medium,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 3 min per side + 6 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. First se
case-000033,Vacuno,aguja,2,medium,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 3 min por lado + 6 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000034,Beef,aguja,2,medium,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 3 min per side + 6 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000035,Vacuno,aguja,2,medium,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 3 min por lado + 6 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000036,Beef,aguja,2,medium,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 3 min per side + 6 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000037,Vacuno,aguja,2,medium,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 3 min por lado + 6 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Precalentar sartén y horno: Usa sartén calient
case-000038,Beef,aguja,2,medium,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 3 min per side + 6 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Preheat pan and oven: Use a hot pan and keep space between pieces. (10 min
case-000039,Vacuno,aguja,2,medium,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 3 min por lado + 6 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000040,Beef,aguja,2,medium,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 3 min per side + 6 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000041,Vacuno,aguja,2,medium_well,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 3 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 62°C. Temperatura final esperada tras reposo: 64°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000042,Beef,aguja,2,medium_well,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 3 min per side + 8 min indirect + 7 min rest Pull target: 62°C. Expected final temperature after rest: 64°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000043,Vacuno,aguja,2,medium_well,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 3 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 62°C. Temperatura final esperada tras reposo: 64°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000044,Beef,aguja,2,medium_well,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 3 min per side + 8 min indirect + 7 min rest Pull target: 62°C. Expected final temperature after rest: 64°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000045,Vacuno,aguja,2,medium_well,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 3 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 62°C. Temperatura final esperada tras reposo: 64°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000046,Beef,aguja,2,medium_well,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 3 min per side + 8 min indirect + 7 min rest Pull target: 62°C. Expected final temperature after rest: 64°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000047,Vacuno,aguja,2,medium_well,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 3 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 62°C. Temperatura final esperada tras reposo: 64°C. 1. Calentar sartén medio-alto: Usa sartén calient
case-000048,Beef,aguja,2,medium_well,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 3 min per side + 8 min indirect + 7 min rest Pull target: 62°C. Expected final temperature after rest: 64°C. 1. Heat pan to medium-high: Use a hot pan and keep space between pieces. (10 
case-000049,Vacuno,aguja,2,medium_well,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 3 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 62°C. Temperatura final esperada tras reposo: 64°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000050,Beef,aguja,2,medium_well,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 3 min per side + 8 min indirect + 7 min rest Pull target: 62°C. Expected final temperature after rest: 64°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000051,Vacuno,aguja,2,well_done,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 3 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 68°C. Temperatura final esperada tras reposo: 71°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000052,Beef,aguja,2,well_done,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 3 min per side + 9 min indirect + 7 min rest Pull target: 68°C. Expected final temperature after rest: 71°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. First se
case-000053,Vacuno,aguja,2,well_done,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 3 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 68°C. Temperatura final esperada tras reposo: 71°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000054,Beef,aguja,2,well_done,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 3 min per side + 9 min indirect + 7 min rest Pull target: 68°C. Expected final temperature after rest: 71°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000055,Vacuno,aguja,2,well_done,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 3 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 68°C. Temperatura final esperada tras reposo: 71°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000056,Beef,aguja,2,well_done,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 3 min per side + 9 min indirect + 7 min rest Pull target: 68°C. Expected final temperature after rest: 71°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000057,Vacuno,aguja,2,well_done,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 3 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 68°C. Temperatura final esperada tras reposo: 71°C. 1. Precalentar sartén y horno: Usa sartén calient
case-000058,Beef,aguja,2,well_done,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 3 min per side + 9 min indirect + 7 min rest Pull target: 68°C. Expected final temperature after rest: 71°C. 1. Preheat pan and oven: Use a hot pan and keep space between pieces. (10 min
case-000059,Vacuno,aguja,2,well_done,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 3 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 68°C. Temperatura final esperada tras reposo: 71°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000060,Beef,aguja,2,well_done,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 3 min per side + 9 min indirect + 7 min rest Pull target: 68°C. Expected final temperature after rest: 71°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000061,Vacuno,aguja,5,blue,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 5 min por lado + 7 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000062,Beef,aguja,5,blue,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 5 min per side + 7 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000063,Vacuno,aguja,5,blue,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 5 min por lado + 7 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000064,Beef,aguja,5,blue,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 5 min per side + 7 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000065,Vacuno,aguja,5,blue,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 5 min por lado + 7 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000066,Beef,aguja,5,blue,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 5 min per side + 7 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000067,Vacuno,aguja,5,blue,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 5 min por lado + 7 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Precalentar sartén: Usa sartén caliente y deja
case-000068,Beef,aguja,5,blue,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 5 min per side + 7 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Preheat pan: Use a hot pan and keep space between pieces. (10 min) 2. Sear
case-000069,Vacuno,aguja,5,blue,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 5 min por lado + 7 min indirecto + 7 min reposo Temperatura de salida: 44°C. Temperatura final esperada tras reposo: 46°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000070,Beef,aguja,5,blue,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 5 min per side + 7 min indirect + 7 min rest Pull target: 44°C. Expected final temperature after rest: 46°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000071,Vacuno,aguja,5,rare,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 5 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000072,Beef,aguja,5,rare,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 5 min per side + 8 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000073,Vacuno,aguja,5,rare,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 5 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000074,Beef,aguja,5,rare,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 5 min per side + 8 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000075,Vacuno,aguja,5,rare,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 5 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000076,Beef,aguja,5,rare,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 5 min per side + 8 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000077,Vacuno,aguja,5,rare,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 5 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Precalentar sartén: Usa sartén caliente y deja
case-000078,Beef,aguja,5,rare,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 5 min per side + 8 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Preheat pan: Use a hot pan and keep space between pieces. (10 min) 2. Sear
case-000079,Vacuno,aguja,5,rare,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 5 min por lado + 8 min indirecto + 7 min reposo Temperatura de salida: 48°C. Temperatura final esperada tras reposo: 50°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000080,Beef,aguja,5,rare,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 5 min per side + 8 min indirect + 7 min rest Pull target: 48°C. Expected final temperature after rest: 50°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000081,Vacuno,aguja,5,medium_rare,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 5 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Precalentar parrilla: Prepara fuego directo y una zona s
case-000082,Beef,aguja,5,medium_rare,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 5 min per side + 9 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. Sear sid
case-000083,Vacuno,aguja,5,medium_rare,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 5 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Preparar zonas de carbón: Prepara zona fuerte de calo
case-000084,Beef,aguja,5,medium_rare,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 5 min per side + 9 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side. 
case-000085,Vacuno,aguja,5,medium_rare,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 5 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define 
case-000086,Beef,aguja,5,medium_rare,kamado,en,OK,,,hard sear + indirect cooking. Use kamado. 5 min per side + 9 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Stabilize kamado: Stabilize dome temperature and define direct/indirect zones. (10 min
case-000087,Vacuno,aguja,5,medium_rare,cocina interior,es,OK,,,sartén fuerte + horno suave si hace falta. Equipo: cocina interior. 5 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Calentar sartén medio-alto: Usa sartén calient
case-000088,Beef,aguja,5,medium_rare,cocina interior,en,OK,,,hot pan + gentle oven if needed. Use cocina interior. 5 min per side + 9 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Heat pan to medium-high: Use a hot pan and keep space between pieces. (10 
case-000089,Vacuno,aguja,5,medium_rare,Napoleon Rogue 525-2,es,OK,,,sellado fuerte + cocción indirecta. Equipo: Napoleon Rogue 525-2. 5 min por lado + 9 min indirecto + 7 min reposo Temperatura de salida: 52°C. Temperatura final esperada tras reposo: 54°C. 1. Precalentar parrilla: Prepara fuego directo y un
case-000090,Beef,aguja,5,medium_rare,Napoleon Rogue 525-2,en,OK,,,hard sear + indirect cooking. Use Napoleon Rogue 525-2. 5 min per side + 9 min indirect + 7 min rest Pull target: 52°C. Expected final temperature after rest: 54°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. 
case-000091,Vacuno,aguja,5,medium,parrilla gas,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla gas. 5 min por lado + 11 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Precalentar parrilla: Prepara fuego directo y una zona 
case-000092,Beef,aguja,5,medium,parrilla gas,en,OK,,,hard sear + indirect cooking. Use parrilla gas. 5 min per side + 11 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Preheat grill: Create direct heat and a cooler safety zone. (10 min) 2. First s
case-000093,Vacuno,aguja,5,medium,parrilla carbón,es,OK,,,sellado fuerte + cocción indirecta. Equipo: parrilla carbón. 5 min por lado + 11 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Preparar zonas de carbón: Prepara zona fuerte de cal
case-000094,Beef,aguja,5,medium,parrilla carbón,en,OK,,,hard sear + indirect cooking. Use parrilla carbón. 5 min per side + 11 min indirect + 7 min rest Pull target: 56°C. Expected final temperature after rest: 58°C. 1. Prepare charcoal zones: Build a strong direct zone and a cooler safety side.
case-000095,Vacuno,aguja,5,medium,kamado,es,OK,,,sellado fuerte + cocción indirecta. Equipo: kamado. 5 min por lado + 11 min indirecto + 7 min reposo Temperatura de salida: 56°C. Temperatura final esperada tras reposo: 58°C. 1. Estabilizar kamado: Estabiliza temperatura de cúpula y define
